Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;MULHOUSE VILLE;87182063;LYON PART DIEU;87723197;2;Tarif Réglementé;66.5;82.2
TGV INOUI;LE CREUSOT - MONTCEAU TGV;87694109;ST PIERRE DES CORPS;87571240;2;Tarif Avantage;17.5;64.0
TGV INOUI;LE CROISIC;87481788;ST NAZAIRE;87481705;2;Tarif Normal;8.7;9.3
TGV INOUI;MULHOUSE VILLE;87182063;BOURG ST MAURICE;87741793;2;Tarif Avantage;17.5;71.0
TGV INOUI;MODANE;87742007;VERSAILLES CHANTIERS;87393009;1;Tarif Elève - Etudiant - Apprenti;19.0;19.0
TGV INOUI;LE CROISIC;87481788;GRENOBLE;87747006;2;Tarif Elève - Etudiant - Apprenti;15.0;15.0
TGV INOUI;MULHOUSE VILLE;87182063;MARSEILLE BLANCARDE;87751081;2;Tarif Normal;20.0;140.0
TGV INOUI;MODANE;87742007;PARIS GARE DE LYON;87686006;1;Tarif Elève - Etudiant - Apprenti;20.0;20.0
TGV INOUI;ANGERS ST LAUD;87484006;ST MICHEL VALLOIRE;87742361;1;Tarif Réglementé;175.6;175.6
TGV INOUI;MODANE;87742007;PARIS GARE DE LYON;87686006;1;Tarif Normal;31.0;205.0
TGV INOUI;MONTAUBAN VILLE BOURBON;87611244;ST PIERRE DES CORPS;87571240;1;Tarif Réglementé;116.7;116.7
TGV INOUI;MODANE;87742007;PARIS NORD;87271007;1;Tarif Elève - Etudiant - Apprenti;20.0;20.0
TGV INOUI;LE HAVRE;87413013;BOURG ST MAURICE;87741793;2;Tarif Elève - Etudiant - Apprenti;15.0;15.0
TGV INOUI;MULHOUSE VILLE;87182063;CHALON SUR SAONE;87725002;2;Tarif Réglementé;54.8;68.0
TGV INOUI;MULHOUSE VILLE;87182063;NICE VILLE;87756056;2;Tarif Réglementé;121.4;146.2
TGV INOUI;PORNICHET;87481747;PARIS AUSTERLITZ;87547000;1;Tarif Avantage;20.0;124.0
TGV INOUI;QUIMPERLE;87476317;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Avantage;18.0;130.0
TGV INOUI;MULHOUSE VILLE;87182063;ECOLE VALENTIN;87710731;2;Tarif Réglementé;30.5;38.6
TGV INOUI;ANGOULEME;87583005;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Avantage;16.5;121.0
TGV INOUI;MODANE;87742007;ST AVRE - LA CHAMBRE;87741306;1;Tarif Réglementé;16.7;16.7
TGV INOUI;MULHOUSE VILLE;87182063;NIMES;87775007;2;Tarif Réglementé;99.2;124.8
TGV INOUI;MULHOUSE VILLE;87182063;LILLE EUROPE;87223263;2;Tarif Réglementé;111.7;138.0
TGV INOUI;MULHOUSE VILLE;87182063;NIMES PONT DU GARD;87703975;2;Tarif Avantage;14.0;94.0
TGV INOUI;LE CROISIC;87481788;PARIS MONTPARNASSE 1 ET 2;87391003;2;Tarif Elève - Etudiant - Apprenti;22.0;22.0
TGV INOUI;ANGOULEME;87583005;ARCACHON;87582668;1;Tarif Normal;17.0;66.0
TGV INOUI;ANGERS ST LAUD;87484006;SAVENAY;87481838;1;Tarif Elève - Etudiant - Apprenti;21.0;21.0
TGV INOUI;MONTBARD;87713131;BESANCON - F COMTE TGV;87300863;1;Tarif Normal;34.0;57.0
TGV INOUI;ANGERS ST LAUD;87484006;ST AVRE - LA CHAMBRE;87741306;1;Tarif Réglementé;175.6;175.6
TGV INOUI;LE HAVRE;87413013;CONFLANS FIN D'OISE TGV;87514604;2;Tarif Elève - Etudiant - Apprenti;4.0;4.0
TGV INOUI;MODANE;87742007;TGV HAUTE PICARDIE;87313882;1;Tarif Normal;31.0;201.0
TGV INOUI;QUIMPERLE;87476317;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;26.0;169.0
TGV INOUI;LE CROISIC;87481788;ST PIERRE DES CORPS;87571240;2;Tarif Avantage;14.0;34.0
TGV INOUI;ANGOULEME;87583005;BAYONNE;87673004;1;Tarif Elève - Etudiant - Apprenti;27.0;27.0
TGV INOUI;QUIMPER;87474098;ALBERTVILLE;87741645;1;Tarif Elève - Etudiant - Apprenti;29.0;29.0
TGV INOUI;LE HAVRE;87413013;LYON PART DIEU;87723197;2;Tarif Réglementé;79.2;101.5
TGV INOUI;MULHOUSE VILLE;87182063;MACON VILLE;87725689;2;Tarif Normal;20.0;73.0
TGV INOUI;MONTBARD;87713131;MARNE LA VALLEE CHESSY;87111849;1;Tarif Réglementé;81.2;81.2
TGV INOUI;ANGERS ST LAUD;87484006;ST GERVAIS LES BAINS LE FAYET;87746479;1;Tarif Normal;31.0;206.0
TGV INOUI;ANGOULEME;87583005;BIGANOS FACTURE;87582478;1;Tarif Normal;17.0;65.0
TGV INOUI;MULHOUSE VILLE;87182063;MARNE LA VALLEE CHESSY;87111849;2;Tarif Réglementé;88.3;115.7
TGV INOUI;MONTBARD;87713131;PARIS BERCY;87686667;1;Tarif Avantage;11.9;76.0
TGV INOUI;ANGERS ST LAUD;87484006;ST JEAN DE MAURIENNE ARVAN;87742320;1;Tarif Elève - Etudiant - Apprenti;23.0;23.0
TGV INOUI;QUIMPERLE;87476317;RENNES;87471003;1;Tarif Réglementé;54.8;54.8
TGV INOUI;LE HAVRE;87413013;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Réglementé;42.6;53.8
TGV INOUI;MULHOUSE VILLE;87182063;TOULON;87755009;2;Tarif Réglementé;111.9;139.1
